data_id;iso;event_id_cnty;event_id_no_cnty;event_date;year;time_precision;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;timestamp;iso3
8653967;404;KEN7914;7914;"17 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Munyo Yaya Ethnic Group (Kenya)";6;;;0;60;"Eastern Africa";Kenya;"Tana River";Bura;Madogo;Madogo;-0.4711;39.5952;1;"The Star (Kenya)";National;"On 17 November 2021, members from Munyo Yaya community protested at the Madogo trading center in Modogo town (Bura, Tana River), demanding recognition as a Kenyan ethnic group in order for them to get government jobs with ease. [size=no report]";0;1637615530;KEN
8653968;404;KEN7913;7913;"16 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";;6;;;0;60;"Eastern Africa";Kenya;Lamu;"Lamu West";Mkomami;Lamu;-2.2717;40.902;1;"The Star (Kenya)";National;"On 16 November 2021, local residents marched to the county commissioner's office in Lamu town (Lamu West, Lamu) over rising machete attacks in the town. This is after a man was killed by a gang. [size=no report]";0;1637615530;KEN
8653969;404;KEN7912;7912;"16 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Labour Group (Kenya)";6;;;0;60;"Eastern Africa";Kenya;Garissa;Garissa;Waberi;Garissa;-0.4536;39.6461;1;"The Star (Kenya)";National;"On 16 November 2021, more than 200 cereal traders, including women traders, protested against police harassment and accused top security officials of using junior officers to demand bribes in Garissa town (Garissa). The protest came after a multiagency team acting on intelligence intercepted and set ablaze a lorry carrying rice to Garissa in Modika. [size=more than 200]";0;1637615530;KEN
8644068;404;KEN7910;7910;"10 November 2021";2021;1;Riots;"Mob violence";"Rioters (Kenya)";"Vigilante Group (Kenya)";5;"Civilians (Kenya)";;7;57;"Eastern Africa";Kenya;Nakuru;"Nakuru North";Kabatini;Nakuru;-0.2441;36.142;1;"Daily Nation (Kenya); Kenya Standard";National;"On 10 November 2021, local residents burnt and killed two people who were accused of stealing phones along the Geoffrey Kamau Avenue in Nakuru town (Nakuru North, Nakuru). [size=no report]";2;1637008333;KEN
8644069;404;KEN7911;7911;"10 November 2021";2021;1;Battles;"Armed clash";"Pokot Ethnic Militia (Kenya)";;4;"Police Forces of Kenya (2013-) General Service Unit";"Military Forces of Kenya (2013-)";1;14;"Eastern Africa";Kenya;Laikipia;"Laikipia West";Ol-moran;Ol-moran;0.5368;36.488;2;"Daily Nation (Kenya); Kenya Standard";National;"On 10 November 2021, armed pokot militia attacked General Service Unit and KDF officers digging a trench around Laikipia Nature Conservancy in Kamwenje area near Ol-moran town (Laikipia West, Laikipia). Four soldiers were killed and one other was injured.";4;1637008333;KEN
8644311;404;KEN7909;7909;"10 November 2021";2021;1;Riots;"Violent demonstration";"Rioters (Kenya)";;5;"Police Forces of Kenya (2013-)";"Civilians (Kenya); Government of Kenya (2013-)";1;15;"Eastern Africa";Kenya;Kisumu;"Kisumu Central";Migosi;Kondele;-0.0789;34.7759;1;"Daily Nation (Kenya)";National;"On 10 November 2021, several demonstrators, gathered at the Kondele roundabout, pelted stones at the convoy of the deputy president in Kondele (Kisumu Central, Kisumu). He managed to leave the scene unhurt, but a few vehicles were damaged. The police fired teargas canisters to disperse the crowd. [size=several]";0;1637008334;KEN
8644676;404;KEN7908;7908;"09 November 2021";2021;1;Riots;"Violent demonstration";"Rioters (Kenya)";;5;;;0;50;"Eastern Africa";Kenya;Nairobi;Starehe;Pangani;Pangani;-1.2716;36.8402;1;"Star (Kenya)";National;"On 9 November 2021, local residents barricaded the Juja road with burning tires in Pangani (Starehe, Nairobi), demonstrating against police brutality after police killed a man accused of mugging a cell phone from a passenger in the Mlango Kubwa area. The residents claimed the man was not a thief. [size=no report]";0;1637008335;KEN
8644307;404;KEN7907;7907;"08 November 2021";2021;1;"Violence against civilians";Attack;"Borana Ethnic Militia (Kenya)";;4;"Civilians (Kenya)";"Gabra Ethnic Group (Kenya)";7;47;"Eastern Africa";Kenya;Marsabit;Saku;"Marsabit Central";Marsabit;2.333;37.983;1;"Daily Nation (Kenya)";National;"On 8 November 2021, members from Borana militia shot and killed a civilian from the Gabra ethnic group who was a former spy at Kiwanja Ndege in Marsabit town (Saku, Marsabit). This was due to retaliation for previous killings. Violence escalated between the Burji, Gabra and Borana communities.";1;1637008334;KEN
8644677;404;KEN7906;7906;"06 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";;6;;;0;60;"Eastern Africa";Kenya;Kiambu;Githunguri;Githiga;Githiga;-1.0774;36.6852;1;"Star (Kenya)";National;"On 6 November 2021, local residents protested in Githiga town (Githunguri, Kiambu) against police brutality after the death of a man inside Githiga police station cells. The man was arrested for his involvement in a traffic accident while driving his motorbike. The police said the man committed suicide. [size=no report]";0;1637008335;KEN
8644678;404;KEN7905;7905;"05 November 2021";2021;1;Riots;"Violent demonstration";"Rioters (Kenya)";"Taxi Drivers (Kenya)";5;;;0;50;"Eastern Africa";Kenya;Kiambu;Lari;Lari;Lari;-1.0167;36.6333;1;"Star (Kenya)";National;"On 5 November 2021, local residents, led by boda boda operators, barricaded roads with bonfires in Lari town (Lari, Kiambu) demonstrating against speeding vehicles in town after a Mau Mau road firm driver killed a young boy in a hit and run. [size=no report]";0;1637008335;KEN
8628436;404;KEN7894;7894;"04 November 2021";2021;1;"Violence against civilians";Attack;"Borana Ethnic Militia (Kenya)";;4;"Civilians (Kenya)";"Burji Ethnic Group (Kenya)";7;47;"Eastern Africa";Kenya;Marsabit;Saku;"Marsabit Central";Marsabit;2.333;37.983;2;"Daily Nation (Kenya); Star (Kenya)";National;"On 4 November 2021, members from Borana militia attacked civilians from the Burji clan travelling in a lorry along Marsabit -Badasa, near Marsabit town (Saku, Marsabit). Six people were killed and 11 others injured. The motive of the attack is unknown/not reported.";6;1636405421;KEN
8628660;404;KEN7895;7895;"04 November 2021";2021;1;Battles;"Armed clash";"Turkana Ethnic Militia (Kenya)";"Pastoralists (Kenya)";4;"Samburu Ethnic Militia (Kenya)";"Pastoralists (Kenya)";4;44;"Eastern Africa";Kenya;Samburu;"Samburu North";"El Barta";Suyan;1.4425;36.8467;1;"Daily Nation (Kenya)";National;"On 4 November 2021, armed Turkana pastoralists continued to attack and clashed with pastoralists from Samburu in in Suyan village (Samburu North, Samburu). At least 5 people were seriously injured.";0;1636405422;KEN
8628661;404;KEN7897;7897;"03 November 2021";2021;1;Battles;"Armed clash";"Turkana Ethnic Militia (Kenya)";"Pastoralists (Kenya)";4;"Samburu Ethnic Militia (Kenya)";"Pastoralists (Kenya)";4;44;"Eastern Africa";Kenya;Samburu;"Samburu North";"El Barta";Suyan;1.4425;36.8467;1;"Daily Nation (Kenya)";National;"On 3 November 2021, armed Turkana pastoralists attacked and clashed with pastoralists from Samburu in Suyan village (Samburu North, Samburu), stealing about 1,000 heads of cattle. At least 14 people were killed.";14;1636405422;KEN
8628955;404;KEN7896;7896;"03 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Teachers (Kenya)";6;;;0;60;"Eastern Africa";Kenya;Turkana;"Turkana Central";"Lodwar Township";Lodwar;3.1191;35.5973;1;"Star (Kenya)";National;"On 3 November 2021, teachers from St Kevin's secondary school protested against the denial of housing allowances for two years in Lodwar town (Turkana Central, Turkana). The teachers claimed members within the commission were denying them the right to access housing allowances. [size=no report]";0;1636405423;KEN
8628956;404;KEN7898;7898;"02 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Fishermen (Kenya)";6;;;0;60;"Eastern Africa";Kenya;Lamu;"Lamu East";Faza;Faza;-2.0507;41.1005;1;"Star (Kenya)";National;"On 2 November 2021, hundreds of fishermen demonstrated at beaches in Faza island [coded to Faza, Lamu East, Lamu] against arrests and harassment by the coast guards over the use of illegal nets in Basuba. They demanded from the government to amend the law forbidding the usage of the nets. [size=hundreds]";0;1636405423;KEN
8628953;404;KEN7899;7899;"01 November 2021";2021;1;"Explosions/Remote violence";"Remote explosive/landmine/IED";"Al Shabaab";;2;"Military Forces of Kenya (2013-)";"Civilians (Kenya); Students (Kenya); Labour Group (Kenya)";1;12;"Eastern Africa";Kenya;Lamu;"Lamu East";Kiunga;Sankuri;-1.7169;41.372;2;"Star (Kenya)";National;"On 1 November 2021, an IED by Al Shabaab militants detonated, targeting Kenya military vehicle travelling from Mararani to Kiunga town, near Sankuri town (Lamu East, Lamu). A ranger working with the Aweer Community Conservancy was killed, and a driver and a student were injured. Al Shabaab claimed responsibility.";1;1636405423;KEN
8644310;404;KEN7900;7900;"29 October 2021";2021;1;Riots;"Violent demonstration";"Rioters (Kenya)";;5;"Civilians (Kenya)";"Government of Kenya (2013-)";7;57;"Eastern Africa";Kenya;"Homa Bay";Ndhiwa;"Kanyamwa Kosewe";Ndhiwa;-0.7333;34.3667;1;"Daily Nation (Kenya)";National;"On 29 October 2021, local youth demonstrated and pelted stones at the convoy of the Suba South member of parliament who was attending a funds drive at Wayara Mixed Secondary School in Ndhiwa town (Ndhiwa, Homa Bay), demanding that the member of parliament leave, this is after he declared intent to vy for the Homa Bay gubernatorial seat. Two vehicles were damaged. [size=no report]";0;1637008334;KEN
8612188;404;KEN7892;7892;"28 October 2021";2021;1;Riots;"Mob violence";"Rioters (Kenya)";"Taxi Drivers (Kenya); Vigilante Group (Kenya)";5;"Civilians (Kenya)";;7;57;"Eastern Africa";Kenya;Nairobi;Makadara;Harambee;Buruburu;-1.284;36.8822;1;"Kenya Standard";National;"On 28 October 2021, local residents, including boda boda drivers, lynched two men suspected of stealing mobile phones from residents in Buruburu (Makadara, Nairobi). [size=no report]";2;1635798955;KEN
8628437;404;KEN7901;7901;"28 October 2021";2021;1;"Violence against civilians";"Abduction/forced disappearance";"Police Forces of Kenya (2013-)";;1;"Civilians (Kenya)";"Lawyers (Kenya); Former Al Shabaab";7;17;"Eastern Africa";Kenya;Nairobi;Starehe;"Nairobi Central";Nairobi;-1.283;36.817;1;"Daily Nation (Kenya); Star (Kenya)";National;"On 28 October 2021, police officers, in civilian clothes, abducted three people, including a lawyer, his client who was released after spending 10 years in prison on terror-related charges and for being part of the Al Shabaab and the former prisoner's cousin in Nairobi (Starehe, Nairobi). They are yet to be found.";0;1636405422;KEN
8628662;404;KEN7902;7902;"28 October 2021";2021;1;"Violence against civilians";"Abduction/forced disappearance";"Unidentified Armed Group (Kenya)";;3;"Civilians (Kenya)";"Women (Kenya); Labour Group (Kenya)";7;37;"Eastern Africa";Kenya;Nairobi;Westlands;Parklands;Westlands;-1.2682;36.8091;1;"Daily Nation (Kenya)";National;"On 28 October 2021, unidentified gunmen abducted the former Westlands Member of Parliament's sister-in-law and her driver in Muthaiga area in Westlands (Westlands, Nairobi). The victims were ambushed outside the house of the former Westlands member of parliament.";0;1636405422;KEN
8611851;404;KEN7891;7891;"27 October 2021";2021;1;Battles;"Armed clash";"Pokot Ethnic Militia (Kenya)";"Pastoralists (Kenya)";4;"Police Forces of Kenya (2013-) General Service Unit";;1;14;"Eastern Africa";Kenya;Laikipia;"Laikipia West";Ol-moran;Ol-moran;0.5368;36.488;1;"Kenya Standard; Citizen (Kenya)";National;"On 27 October 2021, armed Pokot militia ambushed police officers from the General Service Unit on patrol in Kenya Mpya area in Ol-Moran (Laikipia West, Laikipia). Three officer were killed and two others were injured. The GSU officers were deployed to provide security in Laikipia conservancy.";3;1635798955;KEN
8612189;404;KEN7890;7890;"25 October 2021";2021;1;Riots;"Mob violence";"Rioters (Kenya)";"Vigilante Group (Kenya)";5;"Civilians (Kenya)";"Farmers (Kenya)";7;57;"Eastern Africa";Kenya;"Homa Bay";Karachuonyo;Wang'chieng;Wang'chieng;-0.3718;34.7414;1;"Kenya Standard";National;"On 25 October 2021, local residents lynched a farm manager, accusing him of encroaching on other people's land in the Konyunyo area in Wang'chieng town (Kasipul, Homa Bay). [size=no report]";1;1635798955;KEN
8628958;404;KEN7903;7903;"25 October 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Labour Group (Kenya)";6;;;0;60;"Eastern Africa";Kenya;Laikipia;"Laikipia East";Thingithu;Nanyuki;0.0167;37.0667;1;"Star (Kenya)";National;"On 25 October 2021, commercial sex workers protested against the murder of one of their colleagues in 2012 allegedly by one or two British soldiers in Nanyuki town (Laikipia East, Laikipia). Both Kenya and UK are working on the investigation of the killing. [size=no report]";0;1636405423;KEN
8612372;404;KEN7889;7889;"23 October 2021";2021;1;Protests;"Peaceful protest";"Protesters (Kenya)";"Mijikenda Ethnic Group (Kenya)";6;;;0;60;"Eastern Africa";Kenya;Kwale;Matuga;Tiwi;Tiwi;-4.2543;39.587;1;"Star (Kenya)";National;"On 23 October 2021, local residents from Kaya of Mijikenda communities demonstrated against the grabbing of forest lands belonging to Kaya shrines in Tiwi town (Matuga, Kwale). Elders demanded from the government to protect the forests for future generations. [size=no report]";0;1635798956;KEN
