data_id;iso;event_id_cnty;event_id_no_cnty;event_date;year;time_precision;event_type;sub_event_type;actor1;assoc_actor_1;inter1;actor2;assoc_actor_2;inter2;interaction;region;country;admin1;admin2;admin3;location;latitude;longitude;geo_precision;source;source_scale;notes;fatalities;timestamp;iso3
8628752;288;GHA1295;1295;"04 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Ghana)";"Christian Group (Ghana); Muslim Group (Ghana); Larteh Communal Group (Ghana)";6;;;0;60;"Western Africa";Ghana;Eastern;"Akwapem North";;Larteh;5.9395;-0.0689;1;"GNA (Ghana)";National;"On 4 November 2021, members of the Presbyterian church, Muslims, and members of the traditional council demonstrated in Larteh town (Akwapem North, Eastern) against LGBTQI and to call on the Parliament to quickly pass the bill banning LGBTQI in Ghana. [size=no report]";0;1636405422;GHA
8628433;288;GHA1296;1296;"03 November 2021";2021;1;Riots;"Violent demonstration";"Rioters (Ghana)";"Labour Group (Ghana)";5;"Police Forces of Ghana (2017-)";;1;15;"Western Africa";Ghana;Central;"Assin North";;"Assin Bereku";5.8678;-1.3389;1;"Citi News; Ghana Web";National;"On 3 November 2021, workers of the Shimizu Dai-Nippon JV road building company demonstrated in Assin Bereku (Assin North, Central), demanding better working conditions and remuneration. They blocked the road to prevent commuters from using the road, and threw stones at the police forces who attempted to remove the roadblocks. One police commander was injured. The police forces then opened fire on the demonstrators. [size=no report]";0;1636405421;GHA
8628634;288;GHA1297;1297;"03 November 2021";2021;1;Protests;"Peaceful protest";"Protesters (Ghana)";;6;;;0;60;"Western Africa";Ghana;Ashanti;"Amansie West";;"Manso Atwere";6.4574;-1.8575;1;"Citi News";National;"On 3 November 2021, residents demonstrated in Manso Atwere town (Amansie West, Ashanti) against the poor condition of the roads in their region. [size=no report]";0;1636405422;GHA
8628753;288;GHA1298;1298;"01 November 2021";2021;1;Riots;"Mob violence";"Rioters (Ghana)";;5;"Police Forces of Ghana (2017-)";"Civilians (Ghana); Labour Group (Ghana)";1;15;"Western Africa";Ghana;Northern;Tamale;;Tamale;9.4008;-0.8393;2;"GNA (Ghana)";National;"On 1 November 2021, residents of Kukuo suburb of Tamale town (Tamale, Northern) chased away the staff of the VRA/NEDCo national electricity company and the police officers who where accompanying them, as they refused new smart meters to be installed in replacement of older ones. The police forces attacked some residents in the process. [size=no report]";0;1636405422;GHA
8628434;288;GHA1299;1299;"30 October 2021";2021;1;Battles;"Armed clash";"Nadu Warriors Communal Militia (Ghana)";;4;"Police Forces of Ghana (2017-)";;1;14;"Western Africa";Ghana;Eastern;"Lower Manya";;Krobo;6.1299;0.0012;1;"Ghana Web; Chronicle (Ghana)";National;"On 30 October 2021, members of the Nadu Warriors militia disrupted the Ngmayem traditional Festival and attempted to kidnap the traditional ruler in Krobo town (Lower Manya, Eastern). They assaulted and injured the chief and other dignitaries, burnt down canopies and drums mounted for the ceremony, and destroyed chairs. The police forces intervened and prevented them from kidnapping the traditional chief.";0;1636405421;GHA
8611849;288;GHA1294;1294;"29 October 2021";2021;1;Battles;"Armed clash";"Military Forces of Ghana (2017-)";;1;"Police Forces of Ghana (2017-)";;1;11;"Western Africa";Ghana;Ashanti;Kumasi;;Suame;6.7194;-1.6344;1;"Ghana Web; Citi News; 3 News";National;"On 29 October 2021, the military forces clashed with the police forces in Suame town (Kumasi, Ashanti), after police officers allegedly hit a non-uniformed military personnel with the back of a rifle gun as he refused to stop at a police control.";0;1635798955;GHA
8628435;288;GHA1301;1301;"29 October 2021";2021;1;Riots;"Mob violence";"Rioters (Ghana)";"Vigilante Group (Ghana)";5;"Civilians (Ghana)";;7;57;"Western Africa";Ghana;Eastern;"Akwapem North";;Adawso;5.951;-0.2142;1;"Peace Online; My Joy Online; 3 News; Ghana Web";National;"On 29 October 2021, residents forcibly stripped naked and paraded two young boys in Adawso village (Akwapem North, Eastern) for allegedly stealing money and a mobile phone. Two people were later arrested in connection to that incident. [size=no report]";0;1636405421;GHA
8628751;288;GHA1300;1300;"29 October 2021";2021;1;Riots;"Mob violence";"Rioters (Ghana)";"Students (Ghana)";5;"Rioters (Ghana)";"Students (Ghana)";5;55;"Western Africa";Ghana;"Greater Accra";Accra;;Accra;5.556;-0.1969;1;"Ghana Web";National;"On 29 October 2021, students clashed in Commonwealth campus of the University of Ghana in Accra city (Accra, Greater Accra) as a result of a delay in the declaration of the results of the Students Representative Council. They destroyed properties and damaged cars. Several students were severely injured. [size=no report]";0;1636405422;GHA
8611848;288;GHA1293;1293;"26 October 2021";2021;1;"Violence against civilians";Attack;"Prampram Communal Militia (Ghana)";;4;"Civilians (Ghana)";"Prampram Communal Group (Ghana)";7;47;"Western Africa";Ghana;"Greater Accra";Tema;;Tema;5.6596;-0.0097;1;"My Joy Online; GNA (Ghana); Daily Guide Ghana; Chronicle (Ghana); Citi News; Ghana Web; Daily Graphic; Peace Online";Subnational-National;"On 26 October 2021, armed men, suspected to be a communal militia, opened fire in a meeting of traditional rulers in Prampram traditional area, Tema city (Tema, Greater Accra), killing one and severely injuring 2 others. This happened in a context of dispute over chieftaincy. The police forces later arrested 6 people in connection to the attack.";1;1635798955;GHA
8611847;288;GHA1292;1292;"25 October 2021";2021;1;Riots;"Violent demonstration";"Rioters (Ghana)";"NDC: National Democratic Congress; Government of Ghana (2017-)";5;"Police Forces of Ghana (2017-)";;1;15;"Western Africa";Ghana;"Greater Accra";Accra;;Accra;5.556;-0.1969;1;"My Joy Online; GardaWorld; Ghana Web; Citi News";Other-Subnational;"On 25 October 2021, scores of supporters of an NDC (opposition) party MP demonstrated in Madina neighborhood of Accra city (Accra, Greater Accra) over the state of the roads in their area. They erected barricades and allegedly prevented the intervening police forces to arrest the MP who was leading the demonstration. [size=no report]";0;1635798955;GHA
